sourcedId,status,dateLastModified,title,grades,courseSourcedId,classCode,classType,location,schoolSourcedId,termSourcedIds,subjects,subjectCodes,periods
454622.001.1.4,,,Livestock Production,"10,11",454622,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454622.002.1.4,,,Livestock Production,"10,11",454622,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454623.001.1.2,,,Floral Design,"10,11,12",454623,1,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454623.001.1.4,,,Floral Design,"10,11,12",454623,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454623.002.1.4,,,Floral Design,"10,11,12",454623,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454623.003.1.4,,,Floral Design,"10,11,12",454623,3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454623.003.3.4,,,Floral Design,"10,11,12",454623,3,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454626.101.1.2,,,Professional Communications,"09,10,11,12",454626,101,scheduled,,79907002,2020.002.SM.S1.1.2,,,
454626.102.1.2,,,Professional Communications,"09,10,11,12",454626,102,scheduled,,79907002,2020.002.SM.S1.1.2,,,
454626.103.1.2,,,Professional Communications,"09,10,11,12",454626,103,scheduled,,79907002,2020.002.SM.S1.1.2,,,
454626.104.1.2,,,Professional Communications,"09,10,11,12",454626,104,scheduled,,79907002,2020.002.SM.S1.1.2,,,
454626.105.1.2,,,Professional Communications,"09,10,11,12",454626,105,scheduled,,79907002,2020.002.SM.S1.1.2,,,
454626.106.1.2,,,Professional Communications,"09,10,11,12",454626,106,scheduled,,79907002,2020.002.SM.S1.1.2,,,
454626.201.3.4,,,Professional Communications,"09,10,11,12",454626,201,scheduled,,79907002,2020.002.SM.S2.3.4,,,
454626.202.3.4,,,Professional Communications,"09,10,11,12",454626,202,scheduled,,79907002,2020.002.SM.S2.3.4,,,
454626.203.3.4,,,Professional Communications,"09,10,11,12",454626,203,scheduled,,79907002,2020.002.SM.S2.3.4,,,
454626.204.3.4,,,Professional Communications,"09,10,11,12",454626,204,scheduled,,79907002,2020.002.SM.S2.3.4,,,
454626.205.3.4,,,Professional Communications,"09,10,11,12",454626,205,scheduled,,79907002,2020.002.SM.S2.3.4,,,
454626.206.3.4,,,Professional Communications,"09,10,11,12",454626,206,scheduled,,79907002,2020.002.SM.S2.3.4,,,
454627.001.1.4,,,"Prin of Bus, Marketing & Fin","09,10,11",454627,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454627.001.3.4,,,"Prin of Bus, Marketing & Fin","09,10,11",454627,1,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454627.002.1.2,,,"Prin of Bus, Marketing & Fin","09,10,11",454627,2,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454627.002.1.4,,,"Prin of Bus, Marketing & Fin","09,10,11",454627,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454627.002.3.4,,,"Prin of Bus, Marketing & Fin","09,10,11",454627,2,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454627.003.1.2,,,"Prin of Bus, Marketing & Fin","09,10,11",454627,3,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454627.003.1.4,,,"Prin of Bus, Marketing & Fin","09,10,11",454627,3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454627.003.3.4,,,"Prin of Bus, Marketing & Fin","09,10,11",454627,3,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454629.001.1.2,,,Business Info Mgmt I,"10,11,12",454629,1,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454629.001.1.4,,,Business Info Mgmt I,"10,11,12",454629,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454629.001.3.4,,,Business Info Mgmt I,"10,11,12",454629,1,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454629.002.1.2,,,Business Info Mgmt I,"10,11,12",454629,2,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454629.002.1.4,,,Business Info Mgmt I,"10,11,12",454629,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454629.002.3.4,,,Business Info Mgmt I,"10,11,12",454629,2,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454631.001.1.4,,,Human Growth & Dvpt,"09,10,11,12",454631,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454631.002.1.2,,,Human Growth & Dvpt,"09,10,11,12",454631,2,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454631.002.1.4,,,Human Growth & Dvpt,"09,10,11,12",454631,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454631.002.3.4,,,Human Growth & Dvpt,"09,10,11,12",454631,2,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454632.002.1.4,,,Prin of Health Science,"09,10,11",454632,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454632.003.1.4,,,Prin of Health Science,"09,10,11",454632,3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454632.004.1.4,,,Prin of Health Science,"09,10,11",454632,4,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454632.004.3.4,,,Prin of Health Science,"09,10,11",454632,4,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454632.005.1.4,,,Prin of Health Science,"09,10,11",454632,5,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454632.005.3.4,,,Prin of Health Science,"09,10,11",454632,5,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454632.006.1.4,,,Prin of Health Science,"09,10,11",454632,6,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454633.001.1.2,,,Medical Terminology,"09,10,11",454633,1,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454633.001.1.4,,,Medical Terminology,"09,10,11",454633,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454633.002.1.4,,,Medical Terminology,"09,10,11",454633,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454633.003.1.4,,,Medical Terminology,"09,10,11",454633,3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454634.001.1.2,,,Health Science Theory,"11,12",454634,1,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454634.001.1.4,,,Health Science Theory,"11,12",454634,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454635.001.1.4,,,Anatomy & Physiology,"10,11,12",454635,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454635.002.1.2,,,Anatomy & Physiology,"10,11,12",454635,2,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454635.002.1.4,,,Anatomy & Physiology,"10,11,12",454635,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454635.003.1.4,,,Anatomy & Physiology,"10,11,12",454635,3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454636.003.1.2,,,Culinary Arts,"11,12",454636,3,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454636.003.1.4,,,Culinary Arts,"11,12",454636,3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454637.001.1.4,,,Advanced Culinary Arts,12,454637,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454638.001.1.2,,,Principles of Human Services,"09,10,11",454638,1,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454638.001.1.4,,,Principles of Human Services,"09,10,11",454638,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454638.002.1.4,,,Principles of Human Services,"09,10,11",454638,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454638.002.3.4,,,Principles of Human Services,"09,10,11",454638,2,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454638.003.1.4,,,Principles of Human Services,"09,10,11",454638,3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454638.003.3.4,,,Principles of Human Services,"09,10,11",454638,3,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454640.101.1.2,,,Lifetime Nutrition & Wellness,"10,11,12",454640,101,scheduled,,79907002,2020.002.SM.S1.1.2,,,
454640.102.1.2,,,Lifetime Nutrition & Wellness,"10,11,12",454640,102,scheduled,,79907002,2020.002.SM.S1.1.2,,,
454640.103.1.2,,,Lifetime Nutrition & Wellness,"10,11,12",454640,103,scheduled,,79907002,2020.002.SM.S1.1.2,,,
454640.104.1.2,,,Lifetime Nutrition & Wellness,"10,11,12",454640,104,scheduled,,79907002,2020.002.SM.S1.1.2,,,
454640.105.1.2,,,Lifetime Nutrition & Wellness,"10,11,12",454640,105,scheduled,,79907002,2020.002.SM.S1.1.2,,,
454642.001.1.4,,,Prin of Cos Dsgn & Color Thry,"10,11,12",454642,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454642.002.1.4,,,Prin of Cos Dsgn & Color Thry,"10,11,12",454642,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454642.003.1.4,,,Prin of Cos Dsgn & Color Thry,"10,11,12",454642,3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454642.004.1.4,,,Prin of Cos Dsgn & Color Thry,"10,11,12",454642,4,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454643.001.1.4,,,Cosmetology I,"11,12",454643,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454643.002.1.4,,,Cosmetology I,"11,12",454643,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454643.003.1.4,,,Cosmetology I,"11,12",454643,3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454643.004.1.4,,,Cosmetology I,"11,12",454643,4,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454644.001.1.4,,,Cosmetology II,12,454644,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454647.001.1.4,,,"Prin of Law, P Saf, Cor, & Sec","09,10,11",454647,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454648.001.1.2,,,Law Enforcement I,"10,11,12",454648,1,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454648.001.1.4,,,Law Enforcement I,"10,11,12",454648,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454649.001.1.4,,,Law Enforcement II,"11,12",454649,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454649.002.3.4,,,Law Enforcement II,"11,12",454649,2,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454650.001.1.4,,,Forensic Science,"10,11,12",454650,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454650.002.1.4,,,Forensic Science,"10,11,12",454650,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454650.003.1.2,,,Forensic Science,"10,11,12",454650,3,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454650.003.1.4,,,Forensic Science,"10,11,12",454650,3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454650.004.1.2,,,Forensic Science,"10,11,12",454650,4,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454650.004.1.4,,,Forensic Science,"10,11,12",454650,4,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454652.001.1.2,,,Entrepreneurship,"11,12",454652,1,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454652.001.1.4,,,Entrepreneurship,"11,12",454652,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454653.001.1.4,,,Welding I,"11,12",454653,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454654.001.1.4,,,Welding II,12,454654,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454655.001.1.4,,,Intro to Eng Design,"09,10,11",454655,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454655.002.1.2,,,Intro to Eng Design,"09,10,11",454655,2,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454655.002.1.4,,,Intro to Eng Design,"09,10,11",454655,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454655.002.3.4,,,Intro to Eng Design,"09,10,11",454655,2,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454656.001.1.4,,,Engineering Science,"10,11",454656,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454657.003.1.2,,,Civil Eng & Arch,"10,11,12",454657,3,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454657.003.1.4,,,Civil Eng & Arch,"10,11,12",454657,3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454658.001.1.4,,,Auto Tech I: Maint & Lt Repair,"11,12",454658,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454658.002.1.4,,,Auto Tech I: Maint & Lt Repair,"11,12",454658,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454659.001.1.2,,,Auto Tech II: Auto Service,12,454659,1,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454659.001.1.4,,,Auto Tech II: Auto Service,12,454659,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454660.002.1.4,,,Brocst Jrn I,"09,10,11,12",454660,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454661.001.1.4,,,Brocst Jrn II,"09,10,11,12",454661,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454663.001.1.2,,,Journalism I,"09,10,11,12",454663,1,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454663.001.1.4,,,Journalism I,"09,10,11,12",454663,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454664.001.1.4,,,Eng I Pre AP,"08,09,10,11,12",454664,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454664.001.3.4,,,Eng I Pre AP,"08,09,10,11,12",454664,1,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454664.PT1.1.4,,,Eng I Pre AP,"08,09,10,11,12",454664,PT1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454664.PT1.3.4,,,Eng I Pre AP,"08,09,10,11,12",454664,PT1,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454664.PT2.1.4,,,Eng I Pre AP,"08,09,10,11,12",454664,PT2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454664.PT2.3.4,,,Eng I Pre AP,"08,09,10,11,12",454664,PT2,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454664.PT3.1.4,,,Eng I Pre AP,"08,09,10,11,12",454664,PT3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454664.PT3.3.4,,,Eng I Pre AP,"08,09,10,11,12",454664,PT3,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454664.PT4.1.4,,,Eng I Pre AP,"08,09,10,11,12",454664,PT4,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454664.PT4.3.4,,,Eng I Pre AP,"08,09,10,11,12",454664,PT4,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454665.001.1.4,,,Eng I,"09,10,11,12",454665,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454665.001.3.4,,,Eng I,"09,10,11,12",454665,1,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454665.002.1.4,,,Eng I,"09,10,11,12",454665,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454665.002.3.4,,,Eng I,"09,10,11,12",454665,2,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454665.003.1.4,,,Eng I,"09,10,11,12",454665,3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454665.004.1.2,,,Eng I,"09,10,11,12",454665,4,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454665.004.1.4,,,Eng I,"09,10,11,12",454665,4,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454665.004.3.4,,,Eng I,"09,10,11,12",454665,4,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454665.008.1.4,,,Eng I,"09,10,11,12",454665,8,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454665.008.3.4,,,Eng I,"09,10,11,12",454665,8,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454665.017.1.2,,,Eng I,"09,10,11,12",454665,17,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454665.017.1.4,,,Eng I,"09,10,11,12",454665,17,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454665.017.3.4,,,Eng I,"09,10,11,12",454665,17,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454665.022.1.4,,,Eng I,"09,10,11,12",454665,22,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454665.CT1.1.4,,,Eng I,"09,10,11,12",454665,CT1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454665.IS1.1.2,,,Eng I,"09,10,11,12",454665,IS1,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454665.IS1.1.4,,,Eng I,"09,10,11,12",454665,IS1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454665.IS1.3.4,,,Eng I,"09,10,11,12",454665,IS1,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454665.IS2.1.4,,,Eng I,"09,10,11,12",454665,IS2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454665.IS2.3.4,,,Eng I,"09,10,11,12",454665,IS2,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454665.IS3.1.4,,,Eng I,"09,10,11,12",454665,IS3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454665.IS3.3.4,,,Eng I,"09,10,11,12",454665,IS3,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454665.IS4.1.4,,,Eng I,"09,10,11,12",454665,IS4,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454665.IS4.3.4,,,Eng I,"09,10,11,12",454665,IS4,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454666.CT1.1.4,,,English 1 C,"09,10,11,12",454666,CT1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454666.CT1.3.4,,,English 1 C,"09,10,11,12",454666,CT1,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454667.IS2.1.4,,,English 1 I,"09,10,11,12",454667,IS2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454667.IS3.1.4,,,English 1 I,"09,10,11,12",454667,IS3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454667.IS3.3.4,,,English 1 I,"09,10,11,12",454667,IS3,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454668.002.1.4,,,Eng II Pre AP,"09,10,11,12",454668,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454668.002.3.4,,,Eng II Pre AP,"09,10,11,12",454668,2,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454668.006.1.4,,,Eng II Pre AP,"09,10,11,12",454668,6,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454668.006.3.4,,,Eng II Pre AP,"09,10,11,12",454668,6,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454669.001.1.2,,,Eng II,"09,10,11,12",454669,1,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454669.001.1.4,,,Eng II,"09,10,11,12",454669,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454669.002.1.2,,,Eng II,"09,10,11,12",454669,2,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454669.002.1.4,,,Eng II,"09,10,11,12",454669,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454669.002.3.4,,,Eng II,"09,10,11,12",454669,2,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454669.003.1.4,,,Eng II,"09,10,11,12",454669,3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454669.003.3.4,,,Eng II,"09,10,11,12",454669,3,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454669.004.1.2,,,Eng II,"09,10,11,12",454669,4,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454669.004.1.4,,,Eng II,"09,10,11,12",454669,4,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454669.004.3.4,,,Eng II,"09,10,11,12",454669,4,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454669.005.1.4,,,Eng II,"09,10,11,12",454669,5,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454669.005.3.4,,,Eng II,"09,10,11,12",454669,5,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454669.007.1.4,,,Eng II,"09,10,11,12",454669,7,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454669.007.3.4,,,Eng II,"09,10,11,12",454669,7,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454669.008.1.4,,,Eng II,"09,10,11,12",454669,8,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454669.008.3.4,,,Eng II,"09,10,11,12",454669,8,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454669.009.1.4,,,Eng II,"09,10,11,12",454669,9,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454669.009.3.4,,,Eng II,"09,10,11,12",454669,9,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454669.010.1.4,,,Eng II,"09,10,11,12",454669,10,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454669.010.3.4,,,Eng II,"09,10,11,12",454669,10,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454669.011.1.4,,,Eng II,"09,10,11,12",454669,11,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454669.011.3.4,,,Eng II,"09,10,11,12",454669,11,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454669.IS1.1.4,,,Eng II,"09,10,11,12",454669,IS1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454669.IS1.3.4,,,Eng II,"09,10,11,12",454669,IS1,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454669.IS2.1.4,,,Eng II,"09,10,11,12",454669,IS2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454669.IS2.3.4,,,Eng II,"09,10,11,12",454669,IS2,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454669.IS3.1.4,,,Eng II,"09,10,11,12",454669,IS3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454671.IS1.1.4,,,English 2 I,"09,10,11,12",454671,IS1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454671.IS1.3.4,,,English 2 I,"09,10,11,12",454671,IS1,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454671.IS2.1.4,,,English 2 I,"09,10,11,12",454671,IS2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454671.IS3.1.4,,,English 2 I,"09,10,11,12",454671,IS3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
